VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,7/1/2021 7:11,7/1/2021 7:17,N,1,116,244,1,1.03,6.5,0,0.5,0,0,,0.3,7.3,2,1,0
2,7/1/2021 7:07,7/1/2021 7:10,N,1,74,75,1,0.73,4.5,0,0.5,0,0,,0.3,5.3,2,1,0
2,7/1/2021 7:21,7/1/2021 7:21,N,1,74,74,1,0.03,2.5,0,0.5,0,0,,0.3,3.3,2,1,0
2,7/1/2021 7:50,7/1/2021 7:59,N,1,75,42,1,2.26,9.5,0,0.5,0,0,,0.3,10.3,2,1,0
1,7/1/2021 7:25,7/1/2021 7:37,N,1,94,247,1,0,13.2,0,0.5,0,0,,0.3,14,1,1,0
1,7/1/2021 7:08,7/1/2021 7:17,N,1,74,166,1,1.4,8,0,0.5,0,0,,0.3,8.8,2,1,0
1,7/1/2021 7:21,7/1/2021 7:29,N,1,41,75,1,1.7,7.5,0,0.5,0,0,,0.3,8.3,2,1,0
1,7/1/2021 7:33,7/1/2021 7:47,Y,1,75,161,1,3.2,12.5,2.75,0.5,3.21,0,,0.3,19.26,1,1,2.75
2,7/1/2021 7:57,7/1/2021 7:57,N,5,243,264,1,0,12,0,0,1,0,,0.3,13.3,1,2,0
1,7/1/2021 7:33,7/1/2021 7:45,N,1,74,116,1,2.8,11.5,0,0.5,2.45,0,,0.3,14.75,1,1,0
2,7/1/2021 7:46,7/1/2021 7:58,N,1,74,75,1,1.58,9,0,0.5,1.96,0,,0.3,11.76,1,1,0
1,7/1/2021 7:31,7/1/2021 8:09,N,1,222,33,1,0,20.2,0,0.5,0,0,,0.3,21,1,1,0
2,7/1/2021 7:58,7/1/2021 8:09,N,1,95,121,1,2.52,10.5,0,0.5,0,0,,0.3,11.3,1,1,0
2,7/1/2021 7:37,7/1/2021 8:33,N,1,51,25,1,22.65,64.5,0,0.5,0,6.55,,0.3,71.85,1,1,0
2,7/1/2021 7:29,7/1/2021 7:47,N,1,74,237,6,3.36,14.5,0,0.5,3.61,0,,0.3,21.66,1,1,2.75
2,7/1/2021 7:38,7/1/2021 7:48,N,1,74,75,1,1.53,9,0,0.5,0,0,,0.3,9.8,2,1,0
2,7/1/2021 7:54,7/1/2021 8:01,N,1,74,75,1,1.68,7.5,0,0.5,1.66,0,,0.3,9.96,1,1,0
2,7/1/2021 7:39,7/1/2021 8:04,N,1,33,162,1,6.92,25,0,0.5,7.14,0,,0.3,35.69,1,1,2.75
2,7/1/2021 7:41,7/1/2021 7:49,N,1,74,166,2,1.29,7,0,0.5,1.56,0,,0.3,9.36,1,1,0
2,7/1/2021 7:59,7/1/2021 8:06,N,1,74,75,2,1.36,7,0,0.5,0,0,,0.3,7.8,1,1,0
2,7/1/2021 7:22,7/1/2021 7:28,N,1,74,43,1,1.32,6,0,0.5,1.02,0,,0.3,7.82,1,1,0
2,7/1/2021 7:33,7/1/2021 7:36,N,1,75,74,1,1.33,5.5,0,0.5,2,0,,0.3,8.3,1,1,0
2,7/1/2021 7:38,7/1/2021 7:52,N,1,74,263,1,2.2,11.5,0,0.5,3.76,0,,0.3,18.81,1,1,2.75
2,7/1/2021 7:13,7/1/2021 7:22,N,1,74,41,1,1.33,7.5,0,0.5,1.66,0,,0.3,9.96,1,1,0
2,7/1/2021 7:44,7/1/2021 7:50,N,1,74,168,1,1.57,7,0,0.5,0,0,,0.3,7.8,1,1,0
1,7/1/2021 7:30,7/1/2021 7:38,N,1,74,43,1,1.6,7.5,0,0.5,1.65,0,,0.3,9.95,1,1,0
2,7/1/2021 7:45,7/1/2021 7:53,N,1,179,193,1,1.27,7.5,0,0.5,0,0,,0.3,8.3,2,1,0
2,7/1/2021 7:20,7/1/2021 7:34,N,1,74,140,1,3.74,14,0,0.5,0,0,,0.3,17.55,2,1,2.75
2,7/1/2021 7:47,7/1/2021 7:57,N,1,75,162,1,2.22,9,0,0.5,3.76,0,,0.3,16.31,1,1,2.75
